cluster_id	n_words	words
12	218	नआउँदै नआउने नकिम नखाने नगदे नगर नगरा नगरी नगरे नचारु नचाही नचाहे नजमा नजर नजाँदा नजानी नजाने नजारा नजिक नजिकै नजिता नजीक नजीकै नजोडी नठोसी नतासा नतिजा नदिँदै नदिको नदिने नदिमा नदिया नदीका नदीको नदीमा नदीले नदेखे नपर नपाइए नपामा नपुगी नफसी नफाली नफिसा नबढी नभनी नभर्इ नमरी नमानी नमार नमुना नमूना नरक नरम नरहे नराखी नरिता नर्थ नर्बु नर्म नर्स नलागी नलिने नलेखी नलेखौँ नवम नवमी नवाह नवौँमा नशालु नसकी नसके नसामा नसुनी नसुने नसोचा नहर नहुँदा नहुँदै नहुँदो नहुने नहेरी नहोला नाकको नाकमा नाकले नाकैमा नागको नागले नागाकी नाघेको नाघेर नाचका नाचको नाचमा नाचिने नाचेको नाचेर नाजुक नाटक नाडुमा नाताले नातिनी नातीना नाथमा नादिर नानीको नानोका नानोको नानोमा नाफामा नाभिक नामक नामका नामको नाममा नामले नायक नायव नायिका नारङी नारीकै नारीको नारीले नारेर नावहि नाविक नाशक नासाको नासाले नासिने नासुके नासोका नाहिमा निऋति निकाय निकाला निकाली निकाले निकालौँ निकासी निकोला निखार निगम निगाली निगाले निगालो निगौली निचली निचोरी निजको निजले निटक निधार निपाने निभाडा निभायो निमको निमुखा नियति नियम निरमा निराला निराशा निरुता निरोधी निरौला निर्धो निलाजी निलेछ निवारो निवासी निशाना निशानी निशामा नीतिका नीतिको नीतिले नीमको नीलम नूटका नेकपा नेकाका नेकाको नेटिव नेटोका नेटोको नेताका नेताको नेताजी नेतामा नेपार नेपाला नेपाली नेपाले नेबुला नेभर नेभारो नेयुमा नेर्पा नेवार नेवारी नेविली नेवीको नेहरू नैगम नैतिक नैतिको नैनीमा नोकरी नोकिया नोवामा नौकाको नौनीमा नौबिसे नौमति नौमती नौसेना
13	212	जकाया जगतै जगमा जगर जगेडा जगेरा जडेर जतिकै जतिको जतिनै जनक जनका जनको जनता जननी जनमा जनाको जनाले जफर जबकि जबकी जमाना जमुना जमुनी जमेको जमेर जराको जरामा जरायो जरुर जरुरी जरूरी जलका जलको जलमा जलले जलाइए जलिय जलीय जलेको जलेर जवडी जवानी जसका जसको जसमा जसरी जसले जहदा जहदी जहारी जहिले जाँगर जाँचको जाँचियो जाँडको जाँतामा जाँदैछ जाँदैछौ जाकिया जाकिर जागर जागिर जागिरे जागीर जागीरे जागेर जाङपो जाडोको जाडोमा जातक जातका जातको जातमा जातले जातिका जातिको जातिमा जातिले जातीका जातीको जातीय जादुको जानका जानकी जानको जानाको जानाले जानिने जानेका जानेको जानेछ जानेछु जानेछौँ जानेभो जानेर जानेरै जापानी जामको जामिया जालना जालपा जालमा जालीको जालीमा जालौर जावीले जाहेर जिकिर जितको जितिया जितियो जितीया जितुले जितुवा जितेका जितेकै जितेको जितेर जिनको जिनले जिमाली जियम जिराका जिरीको जिरीमा जिलामा जिवाजी जिहुलि जीतका जीतको जीनको जीवनी जीवनै जीवमा जीवले जीवाणु जीवितै जुकती जुकाको जुकाले जुगको जुगाँर जुगेडी जुझारु जुटको जुटुने जुटेका जुटेको जुठोको जुडुवा जुडोको जुडोमा जुनको जुनमा जुनले जुनाको जुनिया जुनेली जुरेछ जुरेली जुलका जुलाहा जुलाहे जुलिया जुवाडे जुवामा जूनका जेठको जेठमा जेठोले जेनानी जेफरी जेफाले जेबमा जेरेमी जेलका जेलको जेलमा जेलमै जेलर जेलूपा जेवाना जेसुकै जैकीको जैनका जैसीका जैसीले जोखिम जोगिने जोगियो जोगीको जोगीनी जोडने जोडले जोडिँदै जोडिने जोडीले जोडेका जोडेको जोडेर जोतरा जोरको जोशीको जोशीजी जोशीले जोसुकै जौहर जौहरा ज्वरमा ज्वरोको ज्वरोमा
14	206	ऋचीक ऋणले ऋतुका ऋतुको ऋतुमा ऋषिका ऋषिकी ऋषिको ऋषिमा ऋषिले ऋषीको रकम रङका रङको रङमा रचना रचने रचियो रचेका रचेको रचेर रजर रजौटा रटेको रतुवा रथको रथमा रनको रनमा रनवे रफीले रबर रमका रमिता रमेर रयला रसको रसमा रसले रसिला रसिलो रसुवा रहँदा रहँदै रहको रहनु रहने रहयो रहर रहेक रहेका रहेकी रहेकै रहेको रहेछ रहेझैँ रहेता रहेमा रहेर राँगाको राकम राखने राखिने राखियो राखुँला राखेका राखेकी राखेको राखेमा राखेर रागको रागिला राजका राजको राजमा राजाका राजाकै राजाको राजामे राजाले राणाका राणाको राणाजी राणाले रातका रातको रातमा रातिको रातिमा रातीको राथले रादेक राधाको राधिका रानाको रानाले रानीका रानीको रानीले रामका रामको रामजी रामले रायको रायमा राशिका राशिको राशिमा राशीको राशीमा रासक रासोमा राहुका राहुको राहुले रिँगटा रिजको रिटाम रिडीमा रितार रिनेम रिभर रिमाले रिवर रिसले रीजको रीतिले रुकुम रुखका रुखको रुखमा रुखले रुचिको रुचिमा रुसका रुसको रुसमा रूकुम रूखका रूखको रूखमा रूडको रूडले रूपक रूपका रूपको रूपमा रूपमै रूपले रूसमा रूसोको रेखाको रेखामा रेगिना रेटौला रेडियो रेणुका रेणुको रेलको रेलमा रेलवे रेशम रेहको रोकाकी रोकाको रोकियो रोकेका रोकेको रोकेर रोगका रोगको रोगमा रोगले रोगीका रोगीको रोगीमा रोगीले रोङजी रोचक रोजको रोजर रोजले रोजिशा रोजेका रोजेर रोटको रोटरी रोटीको रोटीले रोडमा रोदीमा रोपनि रोपवे रोपिने रोपेको रोपेर रोमक रोमको रोलको रोलर रोवर रोशीको रोशीले रोसीको रोहिणी रौताको
15	205	गङको गजाको गजुर गजुरी गजोले गठिलो गडौली गढीको गढीमा गणक गणको गणना गणले गणाना गतिका गतिको गतिमा गतिले गतिलो गतेका गतेको गधामा गनिने गनेका गमला गयाको गयामा गरकै गरको गरने गरम गरले गराने गरायो गरार गरिँदा गरिँदै गरिने गरिबी गरिमा गरियो गरीना गरीबी गरेका गरेकी गरेकै गरेको गरेझैँ गरेता गरेमा गरेर गरेरै गरौँला गर्छ गर्छु गर्छे गर्छौ गर्छौँ गर्जा गर्थे गर्थेँ गर्द गर्दा गर्दै गर्दो गर्न गर्ने गर्नै गर्म गर्मी गर्यो गर्यौ गर्यौँ गर्ल गल्ली गहना गहमा गहरा गहिरा गहिरे गहिरो गहुँमा गाँसियो गाँसेकै गाँसेको गागिया गाडको गाडामा गाडीमा गाडेको गाडेर गाडौली गाथाका गाथामा गाभियो गायक गायिका गारोको गार्ड गालको गालमा गालाको गालामा गालीका गिँडेर गिगर गिटार गितार गिनीका गियर गिरिको गिरिह गिरीले गिरेको गिर्ने गीतका गीतको गीतमा गीतले गीतव गीताको गुँदरी गुजर गुजारा गुठली गुठीका गुठीकी गुठीको गुठीले गुडेका गुणका गुणको गुणले गुदीमा गुनिया गुफाको गुफामा गुमायो गुमेको गुरुको गुरुजी गुरुले गुर्जा गुर्जो गुलाफी गुलाम गुलिया गुलियो गुलेली गेटको गेटवे गेटेले गेडही गेडामा गेडाले गेदले गेमको गेरेका गेलुक गोगने गोठमा गोठादी गोठाला गोठाले गोठालो गोडाको गोडामा गोडाले गोतामे गोदक गोदबा गोदवा गोदार गोधरा गोधुली गोपीको गोबर गोबरै गोमती गोमाको गोमायु गोरको गोरखा गोरीका गोरीले गोरुको गोरेटो गोर्खा गोर्खे गोलको गोलमा गोलले गोलाको गोलोमा गोवाको गोवामा गोहीको गौँडाको गौँथली गौणता गौतम गौतमी गौरमा गौरव गौसका
16	186	गजनीका गजबको गजरौला गजलम गजुरमा गठनका गडबडी गणनाका गणनाको गणनामा गणितका गणितको गणितमा गणितले गणितिय गणितीय गणेशका गणेशको गणेशजी गणेशले गतिकीको गतेदेखि गरकोमा गरवाना गराइएका गराइएको गरिँदैन गरिदिन गरिदिने गरिदियो गरिनमा गरिनाले गरिनुका गरिनेछ गरिबीको गरिमाको गरिरही गरिरहे गरिसके गरिसकेँ गरिहेका गरिहेको गरीबीमा गरुडको गरूडमा गरेकामा गरेकाले गरेकोछ गरेकोमा गरेपछि गरेपनि गर्दछ गर्दछु गर्दछौँ गर्दछ्न् गर्दथे गर्दाको गर्दिन गर्दैछ गर्दैछु गर्दैन गर्दैमा गर्नका गर्नको गर्नमा गर्नमै गर्नाका गर्नाको गर्नाले गर्नुका गर्नुको गर्नुले गर्नेको गर्नेछ गर्नेछु गर्नेछौ गर्नेमा गर्नेले गर्भमा गर्भिणी गर्मीका गर्मीको गर्मीमा गर्योको गर्लको गलकोटे गलतमा गलैँचामा गल्लीको गहकिलो गहतको गहनाको गहनाले गहिरियो गह्वरीय गाँठाहरू गाथाहरू गायकको गायकले गायनका गायनको गायनले गायनामा गायिकाका गारतको गारदमा गाविसका गाविसको गाविसमा गाविसले गिरवारी गिरिदेखि गिर्खाले गिलनको गीतकार गीतदेखि गीतहरू गुगलको गुगलले गुठीबारे गुणकारी गुणहरू गुनासोको गुनासोमा गुबारको गुराँसको गुराँसले गुरुङका गुरुङको गुरुङले गुरुचेला गुरुहरू गुरूजीको गुरूसम गुरूहरू गुर्जोको गुलजारी गुलिमरी गेटदेखि गेलालले गेसरको गैमेजको गैरहनु गैरहेका गैरहेको गोकर्ण गोकर्णी गोकर्णे गोचरमा गोठपानी गोठाटार गोठालाको गोठालाले गोदावरी गोपर्मा गोपालको गोपालजी गोपीराना गोपीहरू गोबरको गोबरमा गोबरले गोमनको गोरखाका गोरखाकै गोरखाको गोरखामा गोरखाली गोराहरू गोरुसिङे गोर्खाका गोर्खाली गोलाकार गोलीबारी गोहीहरू गौँथलीको गौकोटमा गौचनले गौतमका गौतमको गौतमजी गौतमले गौतमीको गौतमीले गौरवको गौहाटीमा
17	181	दङनी दमक दमकु दमको दमिनी दमौली दयाका दयाको दरको दरमा दरले दरिने दरिलो दरौदी दर्ज दर्जा दर्जी दर्ता दर्मा दलका दलको दलमा दलले दलीय दलेर दवाडी दशक दशम दशमी दशाका दशामा दशैँको दशैँमा दशैको दशौँमा दहमा दहीमा दाँजेको दाँजोमा दाँतको दाँतमा दाखिला दागडा दागमा दाङको दाङमा दाजुको दादर दानीका दापमा दाममा दायक दायर दायरा दालको दावीमा दासका दासको दासले दाहिने दिइएका दिइएको दिइएछ दिइएन दिइन्छ दिईएको दिएन दिङरी दिदीको दिदीले दिनका दिनको दिनमा दिनमै दिनले दिनहुँ दिनहूँ दिनाले दिनुका दिनेछ दिनेछु दिपक दिपिका दियोको दिलेर दिवाना दिशाका दिशाको दिशामा दिशाले दीपक दीपको दीर्घ दुखका दुखको दुखमा दुखेको दुखेमा दुखेर दुगुना दुधको दुबैका दुबैको दुबैमा दुबैले दुरिमा दुरीमा दुर्ग दुर्गा दुर्वल दुर्वा दुलहा दुलही दुलीको दुवाडी दुवैको दुवैमा दुवैले दुवोको दुहाबी दूतका दूतले दूधको दूधमा दूरिमा दूरीका दूरीको दूरीमा देखायो देखिँदा देखिँदै देखिँदो देखिका देखिकि देखिको देखिने देखिनै देखियो देखेका देखेकी देखेको देखेछ देखेमा देखेर देवका देवता देवले देवानी देवाली देवीका देवीकै देवीको देवीमा देवीले देशका देशकै देशको देशमा देशमै देशले देसका दैनिक दैनिकी दैविक दैवीय दोखाम दोखामा दोदोमा दोर्जे दोलखा दोषको दोहली दोहोरी दोहोरो दौडँदै दौडको दौडमा दौडेर दौरमा दौरेका दौरेमा
18	178	संकाय संगम संगालो संचार संजीव संदेह संयम संसार संहार संहिता सकाएका सकिएको सकृय सक्कली सक्खर सक्तैन सक्तैनौँ सक्दछ सक्दछु सक्दछौँ सक्दथे सक्दिन सक्दैन सक्दैनौ सक्दैनौँ सक्नेछ सक्नेछौँ सक्नेमा सक्नेले सक्रिय सक्षम सख्खर सङ्गति सङ्गम सङ्घका सङ्घकै सङ्घको सङ्घमा सङ्घले सङ्घीय सजिएका सजिएको सञ्चय सञ्चार सञ्जम सट्टामा सड्दैन सताएको सत्कार सत्तरी सत्ताका सत्ताको सत्तामा सत्यको सत्यता सत्रको सत्रमा सन्जम सन्जिता सन्तति सन्तती सन्तले सन्दुक सन्देह सन्धिका सन्धिको सन्धिमा सन्धिले सन्नाटा सन्सार सप्तम सप्तमी सप्तरी सप्ताह सप्रेको सब्जीको सब्सिडी सभ्यता सम्झँदा सम्झना सम्झने सम्झेको सम्झेर सम्झौता सम्पति सम्पदा सम्भार सम्मका सम्मको सम्ममा सम्शेर सम्हाली सम्हाले सल्फर सस्तोमा साक्षर साध्यको सान्तोसा सान्दिनो सान्नानी सारिएका सारिएको सिंघको सिंहका सिंहको सिंहले सिकाएका सिकाएकी सिकाएको सिक्कामा सिक्किम सिक्दैछु सिक्नका सिङ्गर सिज्मिक सिज्वेका सित्तैमा सिद्दिका सिद्दिकी सिद्धको सिद्धिका सिद्धिमा सिन्दुर सिन्दूर सिन्धुली सिम्कौली सिम्थली सिम्पाली सिलाइको सिल्भर सिस्टको सिस्टम सिस्नुको सुक्दैन सुत्केरी सुत्नाले सुत्रमा सुद्रीमा सुनाइयो सुनाएका सुनाएकी सुनिएकै सुन्तला सुन्तले सुन्दर सुन्दरी सुन्नको सुन्नमा सुन्नाले सुन्निने सुन्सरी सुप्रिम सुम्निमा सुम्पनु सुम्पने सुम्पिने सुम्पियो सुम्पेका सुम्पेको सुम्पेर सूत्रका सूत्रको सूत्रमा सूत्रीय सेक्टर सेन्चुरी सेन्टर सेन्टरी सेन्टीगो सोचाइका सोच्दैनौ सोद्धछ सोधिएको सोधिएछ स्वप्नमा स्वप्नामा ७जना ७०
19	162	सकी सकूँ सके सकेँ सकौँ सडी सडे सती सदा सधा सधै सधैँ सफा सबै सभा सम समा सय सयौँ सर सरी सरे सवा सवै सह सहि सही सहे साँखु साँगा साँचै साँचो साँझा साँढे सागा साझा साझी साटो साठी साडी साढे साता सातु सातै सातौँ साथी साथै सादा साधु साना सानी सानै सानो साफा साबि साम सामु सारा सारी सारे सारेँ सारै सारौँ साली सालो साह सिँसिँ सिक सिके सिकेँ सिङे सिजी सिटि सिटी सिटो सिठी सिडी सित सिता सितै सिधा सिधे सिधै सिधैँ सिपी सिम सिमा सिमि सिमी सिमे सिर सिली सिसा सिसी सिसौ सीको सीता सीधा सीमा सीवी सुकी सुकै सुख सुखा सुखी सुखै सुगा सुघा सुते सुने सुनेँ सुफि सुफी सुम सुमो सुर सुरु सुरू सूचि सूची सूफी सेता सेती सेतै सेतो सेना सेमि सेमी सेर सेरा सेलो सेवा सेवी सैन सैम सैला सोको सोची सोचे सोझा सोझी सोझै सोझो सोधे सोना सोनि सोनी सोम सोमा सोली सोलु सोव सोहि सोही सौम सौर सौरि स्वको स्वर स्वरे १६ ६०
20	162	पकाउँदा पकाउनु पकाउने पकाएको पकाएर पक्रने पक्रेर पक्षका पक्षको पक्षमा पक्षले पक्षीको पग्लने पग्लिने पग्लेर पचाएर पछाउनी पट्टर पट्टिको पट्टीमा पट्टेक पट्मारा पठाइने पठाइयो पठाउँछ पठाउँदै पठाउनु पठाउने पठाएका पठाएको पठाएमा पठाएर पढाइका पढाइको पढाइने पढाइमा पढाउँथे पढाउँदा पढाउनु पढाउने पढाएको पढाएर पढिएकै पढ्नका पढ्नाले पढ्नेको पत्थर पत्नीका पत्नीको पत्नीले पत्रक पत्रमा पत्रले पत्रिका पथ्यमा पद्दति पद्धति पद्यको पद्यमा पन्तको पन्तले पन्थमा पब्लिक पराउँदा पराउने परिएका पलाएका पलाएको पलाएझैँ पलाएर पल्टमा पल्टिँदा पल्सर पव्लिक पस्कँदै पस्कने पस्दैन पाइनुको पाइनेछ पाइलाको पाउनका पाउनको पाउनमा पाउनुका पाउनुछ पाउनेछ पाउनेछौ पाएनछ पाएपछि पाक्षिक पाण्डव पाण्डुकी पाण्डुय पाण्डेका पाण्डेको पाण्डेय पाण्डेले पात्रको पात्रमा पात्रले पात्रोमा पान्थरे पान्नाले पारिएका पारिएको पालिएका पालिएको पाल्नुको पाल्पाकै पाल्पाको पाल्पामा पाल्मर पाल्मेर पिक्चर पिक्निक पिज्जाको पिण्डको पिण्डमा पिण्डले पितृको पिनिएको पिप्राको पिसिएको पिस्तीमा पुगिएको पुग्दछ पुग्दथे पुग्दैन पुग्नका पुग्नमा पुग्नेछ पुच्छर पुञ्जको पुण्यको पुत्रका पुत्रको पुत्रदा पुत्रमा पुत्रले पुश्कर पुष्कर पुष्टिको पुष्पले पुस्कर पुस्तक पुस्ताका पुस्ताको पुस्तामा पुस्ताले पुस्तिका पेट्रिक पेत्राका पेत्राको पेल्नको पैट्रिक पैतृक पोट्लाको पोत्लाको पोम्सको पोस्टको पोस्टमा पौष्टिक
21	162	हँगेरी हँसायो हकका हकको हकमा हकरा हकले हकीको हजमा हजार हजारा हजारी हजारे हजारौ हजारौँ हजुर हटको हटले हटेर हठका हडिया हतार हतारी हदका हदमा हदैन हमला हरफे हराम हरायो हरिया हरियो हरूको हरूमा हरूले हरेक हर्के हर्दा हर्न हर्रा हर्ष हर्षा हलको हलमा हलले हलीले हलुका हलोको हल्ला हवारी हाँगाका हाँगामा हाँसका हाँसीका हाँसेर हाकिम हातका हातको हातमा हातले हाथमा हानिको हानियो हानेको हानेमा हामीमा हामीले हायर हारको हारेका हारेको हार्दै हार्ने हालका हालको हालमा हालाकि हालिने हालेको हालेमा हालेर हालैका हालैको हालैमा हावडा हावाका हावाको हावामा हावामै हावाले हिँडनु हिँडने हिँडेका हिँडेकै हिँडेको हिँडेर हिजरी हिजोको हिटको हितका हितको हितमा हिनोक हिमाली हियर हिराको हिरोका हिरोको हिलारी हिलोमा हीतमा हुँदाका हुँदाको हुँदैछ हुँदैन हुदैन हुनका हुनको हुनमा हुनाका हुनाको हुनाले हुनुका हुनुको हुनुमा हुनुले हुनेका हुनेको हुनेछ हुनेछु हुनेछौ हुनेमा हुनेले हुर्के हुलमा हुलाक हेतुको हेतुले हेथाम हेनरी हेयर हेरिने हेरेका हेरेको हेरेर हेर्छ हेर्छु हेर्थे हेर्दा हेर्दै हेर्न हेर्ने हेर्यो हेलेना हेल्लो हैकम हैजाले होमिने होलको होलीमा होसमा हौसला
22	156	संकटका संकलक संकायको संकायमा संकीर्ण संगममा संगीतका संगीतको संगीतमा संगीतले संचारका संचारको संचारमा संजमले संजालको संजीवनी संदशीय संभारको संभोगको संयोगले संयोजक संरचना संविधिका संवेगका संवेदना संसदका संसदकी संसदको संसदमा संसदले संसदीय संसारका संसारकै संसारको संसारमा संसारमै संसारले संहिताका संहितामा सकृयता सक्खरमा सक्पर्क सक्रियता सङ्कटका सङ्कटको सङ्कटमा सङ्कटाको सङ्कीर्ण सङ्खाकार सङ्गममा सङ्गालेका सङ्गालेर सङ्गितको सङ्गीतका सङ्गीतको सङ्गीतमा सङ्घटक सङ्घर्ष सङ्घीयता सज्जनले सञ्चारका सञ्चारको सञ्चारमा सञ्चालक सञ्जालमा सञ्जीवनी सत्तरीको सत्यतपा सत्यताको सत्रुताको सद्भावको सद्भावना सन्जालको सन्जासमा सन्तपना सन्तबीर सन्तानका सन्तानको सन्तानमा सन्तानले सन्तोषजी सन्देशको सन्देशमा सन्यासीको सप्तमीका सप्तरीमा सप्ताहको सभ्यताका सभ्यताको सम्झनाका सम्झनाको सम्झनामा सम्झनाले सम्झाइएको सम्झौताका सम्झौताको सम्झौतामा सम्झौताले सम्दनको सम्पदाका सम्पदाको सम्पर्क सम्पादक सम्पूरक सम्पूर्ण सम्भावना सम्भोगको सम्मानका सम्मानको सम्मानमा सम्मानीय सम्राटको सम्शेरका सम्शेरको सम्शेरले सम्हतिको सम्हालेका सम्हालेर सल्यानकी सल्यानीको सांसदको सांसारिक साक्षरता सान्सारिक साप्ताहिक सिंगारेको सिंगासैन सिंहतिर सिंहलिला सिंहासैन सिक्किमका सिक्किमको सिक्किममा सिक्किमेली सिग्देलको सिग्नलको सिग्नलमा सिङ्हासैन सिन्थेटिक सिन्दुरको सिन्दुरमा सिन्धुलीका सिन्धुलीको सिन्धुलीमा सिस्टमको सिस्टममा सुन्दरता सुन्दरीको सुन्धाराको सुम्निमाको सुम्निमाले सुल्तानले सेक्टरमा सेन्टरको सेन्विचको “सम्पूर्ण
23	155	भँगेरा भएन भगोडा भतिजा भतिजी भतेर भतौडा भदौमा भदौरे भनिछ भनिने भनियो भनेका भनेकी भनेकै भनेको भनेछ भनेझैँ भनेर भनेरै भमरा भयका भयकै भयले भयोका भरणी भरमा भरिका भरिको भरिणी भरिने भरिमा भरिला भरेको भरेर भरोसा भवानी भाँचिने भाँचेको भाँचेर भाँडाको भाँडामा भाँडोको भाँतिका भाँतीका भाकपा भाकामा भागका भागको भागमा भागले भागेको भागेछ भागेर भाडामा भातको भातमा भादुडी भानुले भाबर भारती भारमा भारोले भालाका भालाको भालेको भालेले भावका भावको भावना भावमा भावर भावाना भाषाका भाषाकी भाषाकै भाषाको भाषामा भाषाले भाषिक भाषीले भासको भिजेको भिटोको भिडिक भिडियो भिराला भिरालो भिरेर भिसामा भीडमा भीमले भीरको भीरमा भुटानी भुटिया भुटेको भुटेर भुतले भुमिका भुरेर भुलेकी भुलेछ भुवाना भुवाले भूकिका भूटानी भूमिका भूमिको भूमिमा भूमीमा भूमीले भूलले भेकको भेकमा भेगका भेगको भेगमा भेटको भेटने भेटले भेटिने भेटियो भेटेका भेटेको भेटेर भेटौँला भेडाको भेदका भेनेको भेरीको भेलामा भेषमा भैँसीको भैपरि भैरम भैरव भैरवि भैरहे भैसको भोककै भोकको भोगको भोगेका भोगेको भोजमा भोजले भोटका भोटको भोटाको भोलिका भोलिको भौतिक भौतिकी भौमिक
24	152	जगतका जगतको जगतमा जगदेव जटहारा जटामशी जटामसी जडिबुटी जडीबुटी जताततै जतासुकै जतिखेर जतिजति जतिबेला जतिसुकै जनकका जनककी जनकको जनकले जनकारी जनजाति जनजाती जनताका जनताको जनतामा जनताले जननेको जननेता जनभाषा जनमुखी जनवरी जनवादी जनसभा जनसुखी जनसेवा जनसेवी जनावर जनावरी जबराको जमर्को जमलको जमातका जमातले जमानमा जमानाका जमानामा जमिनको जमिनमा जमीनमा जमुनाकै जमेकोले जयकार जयदेव जयपुर जरिवाना जरेखोला जलदेवी जलनको जलाधार जलोदर जवानको जवानीका जवानीमा जवाफको जवाफमा जसताको जसदेखि जसपछि जसमाथि जहदाको जहदीको जहाँनिया जहाँसुकै जहाजका जहाजको जहाजमा जाँगरको जाँदाजाँदै जागरको जागरुक जागिरको जागिरमा जागीरको जातकको जातकमा जातकले जातजाति जातिदेखि जातिहरू जातीमाथि जादुगर जादुमय जानकार जानकारी जानकीको जानुभयो जानेदेखि जानेमाने जानेहरू जापानका जापानको जापानमा जापानले जामुनको जामुनोको जालपाको जावतको जिजानको जितपुर जितहरू जितेपछि जिवनमा जीतपुर जीतपुरे जीवणुको जीवनका जीवनको जीवनमा जीवनीका जीवनीमा जीवहरू जीवाणुका जीवाणुको जुडिबेला जुनकीरी जुनदेखि जुनबेला जुनसुकै जुनियर जुरेचरा जुरेपछि जुलियाले जूनियर जेठदेखि जेठलको जेतेमेते जेनानीले जेनिफर जेनेटिक जेनेभामा जेभियर जेलपछि जेलहरू जेसपर जेसवार जोखानामा जोखिममा जोगनिया जोगिनका जोडदार जोडनको जोसमनी
25	151	चकटि चटनी चढेका चढेको चढेर चतरा चतुर चनाखी चपटा चपली चमक चमर चमेना चमेरे चमेरो चरम चराका चराको चर्को चर्च चर्चा चर्ने चर्पी चर्म चर्या चलाखी चलेका चलेको चलेर चल्ला चवरा चाँचर चाँचरी चाँदनी चाँदिका चाँदीका चाँदीको चाकडी चाकुरा चाखम चाखुरा चाखेको चाटेको चाडको चाडमा चारमा चार्ट चालक चालको चालेको चावला चासोका चाहना चाहनु चाहने चाहिने चाहेका चाहेकै चाहेको चाहेमा चाहेर चिजको चिठीको चितामा चिनको चिनामा चिनारी चिनिने चिनिया चिनियाँ चिनियो चिनीया चिनेका चिनेकी चिनोका चिपको चियाका चियाको चियोदा चिरेर चिर्को चिर्दै चिलको चिलले चिल्लो चिसोले चीजको चीजले चीनका चीनको चीनमा चुचुरा चुचुरो चुतरा चुदरी चुनको चुनिने चुनियो चुनेका चुनेको चुनैती चुनौति चुनौती चुरेको चुलियो चुलेसी चुसेर चूर्ण चेकमा चेतना चेलीको चेहेरे चैतको चैतमा चैतमै चोकको चोकमा चोकिला चोटले चोटिलो चोटीमा चोपडा चोभार चोरीमा चोर्न चोर्नी चौँथोमा चौँरीको चौकमा चौकीको चौकीमा चौकोर चौखम चौखाम चौघरा चौघरे चौतारा चौतारी चौतारो चौथौको चौधमा चौधरी चौधारी चौमाला चौरमा चौरीको चौलानि चौलाने चौहाको ४मा ८४
